"","stress","normalized_slopes_low","normalized_slopes_high","median_slopes"
"1",125000000.000003,72.4828293774618,5817.73236155559,679.094197843424
"2",138157894.736848,174.819475887713,10373.5417690573,1401.30018490608
"3",151315789.473687,383.509424393519,17872.4370569458,2689.03774387556
"4",164473684.210521,780.49474935529,29834.9114119275,4914.1698881857
"5",177631578.947375,1459.27840776033,48482.4928834483,8529.73049183172
"6",190789473.684209,2594.33797392124,77653.8403720561,14359.5081724696
"7",203947368.421057,4411.37585838741,119787.67213138,23246.0722108804
"8",217105263.157891,7112.29401568748,183252.067055401,36480.7014315391
"9",230263157.894725,11157.1599933778,275480.310152847,55591.0686458115
"10",243421052.631589,16706.7562529748,412979.203074378,82869.2915771923
"11",256578947.368426,24489.4216603892,605300.140777856,121138.37110712
"12",269736842.105252,34377.4113732412,879273.383038435,173780.487547586
"13",282894736.842106,47937.4276216973,1266388.88588604,244798.535042474
"14",296052631.578961,65027.7531660097,1809394.26329709,340493.97783645
"15",309210526.315792,87396.6260854211,2533180.91295331,464558.648369126
"16",322368421.052644,115560.175524771,3541926.01013193,633934.4861277
"17",335526315.789487,149058.279124668,4902540.46184381,844065.897381402
"18",348684210.526331,190776.293483238,6716518.35916195,1107844.78316408
"19",361842105.263155,240157.72611825,9160279.67324648,1444609.18162394
"20",375000000.000006,299192.231899639,12340172.3048046,1876919.3783374
