"","thickness","normalized_slopes_low","normalized_slopes_high","median_slopes"
"1",9.99999999999966e-09,9.07992569578706e-72,6.47984166738677e-70,7.96983988610515e-71
"2",1.13522257916952e-08,1.1723394470628e-71,7.81767307545396e-70,9.98627546744466e-71
"3",1.28873030425634e-08,1.54979753195088e-71,9.4321423693328e-70,1.24642880371909e-70
"4",1.46299573985185e-08,2.02497228031907e-71,1.14359293711981e-69,1.57177208921804e-70
"5",1.66082579710869e-08,2.65302076857453e-71,1.40353680862927e-69,1.95907927593683e-70
"6",1.88540694494506e-08,3.46974546171167e-71,1.67604443461913e-69,2.47649965889812e-70
"7",2.14035653482473e-08,4.46660881223718e-71,2.03652681279776e-69,3.08140284003829e-70
"8",2.42978106580616e-08,5.82147379242737e-71,2.51824663184147e-69,3.90117928882521e-70
"9",2.75834232834182e-08,7.52975659515438e-71,3.08964989010971e-69,4.91673693751648e-70
"10",3.13133249221276e-08,9.73968115207595e-71,3.68247345164402e-69,6.13888248544741e-70
"11",3.55475934804721e-08,1.27329090576141e-70,4.57432532645371e-69,7.70647825712139e-70
"12",4.03544307541725e-08,1.63339223713632e-70,5.57770245430817e-69,9.69140849743615e-70
"13",4.5811260961671e-08,2.08967988795622e-70,6.7584793286424e-69,1.22088429527462e-69
"14",5.20059778239126e-08,2.67207509286293e-70,8.40234476717516e-69,1.52596316576528e-69
"15",5.90383602774969e-08,3.48906478600298e-70,1.03423709853053e-68,1.91182355769805e-69
"16",6.70216796241615e-08,4.48509319709024e-70,1.25896788468374e-68,2.40118099994077e-69
"17",7.60845240032164e-08,5.6082510428037e-70,1.55358093316374e-68,2.96874321840013e-69
"18",8.63728695738195e-08,7.27845191012417e-70,1.90546469497253e-68,3.77518345350208e-69
"19",9.80524317678675e-08,9.21645059736137e-70,2.38815301645231e-68,4.738235026357e-69
"20",1.11311334485366e-07,1.1775907352506e-69,2.94370194942717e-68,5.97060429958607e-69
"21",1.26363140225282e-07,1.48711359150652e-69,3.64153641329983e-68,7.45455917920495e-69
"22",1.43450289958509e-07,1.90467134662411e-69,4.5794579552691e-68,9.34714455756396e-69
"23",1.62848008149319e-07,2.39588647353065e-69,5.66103040336294e-68,1.17599925006977e-68
"24",1.84868735823896e-07,3.01114626612796e-69,7.08655398585044e-68,1.47034833654226e-68
"25",2.09867163089818e-07,3.80890193418223e-69,8.91216551319678e-68,1.84536846897366e-68
"26",2.38245942165822e-07,4.85466995809102e-69,1.1095888320487e-67,2.31540131558464e-68
"27",2.70462172942166e-07,6.0752767035865e-69,1.39262433561994e-67,2.9052189311443e-68
"28",3.07034765535208e-07,7.8074796450404e-69,1.76747446661636e-67,3.64060716646209e-68
"29",3.48552798425599e-07,9.65182166455813e-69,2.19557020658443e-67,4.56723737722542e-68
"30",3.95685006805476e-07,1.18436438675785e-68,2.76645138862993e-67,5.7708440753657e-68
"31",4.49190553964392e-07,1.50481971403303e-68,3.5326751380196e-67,7.18933782937059e-68
"32",5.09931259210059e-07,1.86073673554999e-68,4.41705445825407e-67,9.04116738809096e-68
"33",5.78885479279623e-07,2.29983770641909e-68,5.60788341887609e-67,1.13019366973868e-67
"34",6.57163866831619e-07,2.88161724580621e-68,7.13411279819042e-67,1.41348560948988e-67
"35",7.4602725984163e-07,3.51369731648838e-68,9.21171306402178e-67,1.78205600683112e-67
"36",8.46906990048215e-07,4.38644818387472e-68,1.18656154730952e-66,2.24510887147892e-67
"37",9.61427937559261e-07,5.45956495428742e-68,1.47465731323456e-66,2.81512988227012e-67
"38",1.09143470296169e-06,6.71159228269617e-68,1.89766472945035e-66,3.51311527913378e-67
"39",1.23902131849133e-06,8.19808242782063e-68,2.43503184555335e-66,4.40888052736801e-67
"40",1.4065649768238e-06,1.01045054044493e-67,3.14223681369072e-66,5.53610875804721e-67
"41",1.59676432075948e-06,1.24489051120456e-67,4.04589920674415e-66,6.98806415501412e-67
"42",1.8126829105385e-06,1.50449999466496e-67,5.16536443960565e-66,8.64138919946646e-67
"43",2.0577985689181e-06,1.85411216870588e-67,6.65293585341305e-66,1.09751950583958e-66
"44",2.33605939881863e-06,2.24513062248924e-67,8.72946227825709e-66,1.37555595514698e-66
"45",2.65194737582018e-06,2.77039039288473e-67,1.13804620932008e-65,1.71873298704166e-66
"46",3.01055053980052e-06,3.29730472365111e-67,1.47095864347468e-65,2.16694323967942e-66
"47",3.41764494851231e-06,4.03994665092216e-67,1.91737068079661e-65,2.71778936796199e-66
"48",3.87978771313595e-06,4.93694585900171e-67,2.47320799328177e-65,3.44172403641012e-66
"49",4.40442261433655e-06,5.99055121798578e-67,3.20163543816002e-65,4.2582680384799e-66
"50",4.99999999999987e-06,7.26648208240483e-67,4.24738679320471e-65,5.32574047889096e-66
