n,p
5.065686914607495,-1.3731018389471186
6.2136615806585755,-1.6568801536989328
6.58436192540428,-1.705411851902239
6.621408048257217,-1.5935089343663562
7.242406848188301,-1.8660088765384346
7.594346347174427,-1.9079261540254115
8.21294909175965,-1.7684222557576232
6.722438837531278,-1.7314243175532409
7.956495792041432,-1.9023093805608555
5.009785948365597,-1.335273047355437
6.734348351328258,-1.5574871977552343
8.14776519881701,-1.9334597832435279
5.04012480978586,-1.2069819214036668
6.570241202150564,-1.4399705147765631
7.08258220025765,-1.7997131572669354
9.511284156771861,-1.8511620791714702
7.682848654933322,-2.0088286976847134
7.206186849288208,-2.0564853005657455
5.367897092901305,-1.5249815208635813
8.436578607631663,-2.1321532973512523
6.800139534210301,-1.5616530551365695
8.525946162568548,-1.8344765508590875
5.233406072733097,-1.50655858829979
5.603025736884529,-1.4696980448710144
8.303682774294458,-2.042242533711095
7.686627654698813,-1.735688560379549
4.714251799591122,-1.3389782114667428
9.242656797988458,-2.150881911711552
4.986815321645658,-1.7157918410634012
6.380293556175689,-1.5140552893403234
6.296575902044146,-1.6933859109339435
5.595748322498166,-1.4890333020955198
6.408938637559821,-1.3637270607422667
7.362217261412937,-1.8614730706631621
5.419479301752792,-1.4989048963937022
4.284913934987899,-1.4293617206042095
5.386998755037698,-1.339113637794838
7.269283675590937,-1.963984118141539
9.447896554921567,-1.9891575176151859
4.618790978146472,-1.4697949502577274
5.799756469184117,-1.5256089591745297
6.020648779914531,-1.5369794002014714
6.119192047508108,-1.4824160649722902
7.439559649481495,-1.8934916923080949
8.995250896855412,-2.10827885035613
7.647882997958403,-1.911993939897639
11.332690996328171,-2.444803446787701
7.2570671952206665,-1.8707060094072898
5.865718565870316,-1.6147851877975563
6.239604050453513,-1.7650716082464923
6.39240685004598,-1.741300198005532
9.181572068337262,-2.076677508904483
5.597096181829235,-1.602285743468691
6.174270954473196,-1.5875967473618935
7.975828170038291,-1.9543285994908988
7.9221104161641875,-1.8345831899780802
8.578958380225693,-2.031685917345566
8.559449943232774,-1.8650522041669941
7.336339576123235,-1.818401765403938
8.521707991089665,-1.9486945330731755
6.752666809992241,-1.612521331284375
4.642419690874461,-1.2146224825337213
7.281022779864534,-1.6262905435143744
8.700290991188504,-2.0099790413063428
8.338867907574855,-1.9433024795310248
4.748091878823357,-1.508211427947072
6.652902348883051,-1.8008200838478134
6.481541449162711,-1.6982300608899548
8.358021005027991,-2.080038232140054
7.061970946841433,-1.7845801754506265
7.650709693625936,-2.0797854316624993
4.580233471657814,-1.2945339441905088
6.921885589682271,-1.6854537406165608
8.556114508025873,-1.9295862456645794
7.298853138589221,-1.6991330316735265
7.009252683191942,-1.590641410669219
7.900382052932652,-2.0490841836180347
6.884135848300526,-1.6030516653395874
7.333572151845329,-1.6738094726069428
6.736951707949546,-1.6342914381124944
6.091429893319701,-1.6756676310923024
6.737993680259544,-1.4750187255492289
6.557101363258688,-1.5624882146307286
7.60146979409596,-1.81216189103201
8.548405629387473,-2.0712434973284584
6.434490818617958,-1.7369065602920304
6.288198087066769,-1.757289093097507
6.87441289373408,-1.5789620855816071
5.041705633082756,-1.421094311721283
5.4187320167766435,-1.4987780914726485
5.191461826447036,-1.3640255494778175
5.984110054906637,-1.7103503582002273
4.05505275791667,-1.1774760354594656
4.784202885634648,-1.4879325773893666
6.319187456143558,-1.469388961270822
7.203589735449705,-1.7931902852721204
7.1785573274661045,-1.493304415377599
7.5154353011585915,-1.61980170370523
5.842878650007206,-1.6916051890684598
6.052131360733515,-1.5693453261993622
7.035362950961154,-1.802744330349569
7.594487793216986,-1.9742126580245378
4.8025373601406605,-1.3972458547657145
8.480748267740987,-1.8128512906559504
5.924333121717736,-1.5243798982465806
6.148890608155095,-1.5362826905272424
8.730893306331168,-2.0836790732996344
6.414062645148224,-1.7114621932217988
6.055992274260903,-1.8031200412025161
8.08789087298717,-2.169101855997833
7.251346923560866,-1.9471940517783946
7.783316048987711,-1.6129210339219122
6.765316935019276,-1.487671155379413
6.453946180983189,-1.7116300518034728
7.062682725472567,-1.7438813322632902
5.872079838031488,-1.6423358720704775
7.131445301973735,-1.93490811056163
8.093110000197465,-1.768420515788865
8.11091188811376,-1.805756983892979
7.0482194693971625,-2.0554769146250615
5.648630289200304,-1.5585893693816586
6.998672409784978,-1.83210093109615
7.730720261390938,-1.8257028548993324
5.840401565914619,-1.6224568026574957
7.96223396204234,-1.8492573299355446
7.545920269949987,-1.6529030119533832
6.695373646004481,-1.6239692040665017
6.5904200294738295,-1.8757923061185515
8.070508670336132,-2.0668204910753922
7.929383319740872,-1.8462717213522528
5.355590362263715,-1.612884816945508
7.921663866359459,-1.9671412149401712
6.69004793162472,-1.7872972715290611
6.425556298080163,-1.7111056260582465
7.054828299381738,-1.7208309968405018
6.5781996035814565,-1.718640469594102
7.442038399823001,-1.8304191116619473
4.443873046720162,-1.530598967234838
7.052804461269789,-2.055078245747658
6.98295211223153,-1.9556307909974144
8.525809123214943,-2.1373836049068227
7.92923769311162,-1.8061948876746434
7.780526254338897,-1.9791548112846244
6.9392621619128745,-1.8255446782759697
5.572204226036021,-1.7578546158006918
5.7514503948953,-1.5696796211573907
6.5812292874566,-1.7757395297500498
8.533118466055623,-2.147239706147549
7.807865226013633,-2.006438745761931
5.142564544778529,-1.3723640779540922
7.311778665151414,-1.9756994595065702
6.718242131983939,-1.7058352365222922
5.455111649832744,-1.5939953237776618
7.739147413114091,-1.798423131555746
7.803233845018149,-1.9295008995160723
8.009676594631475,-2.0663956910940744
9.627358822592305,-2.138794642790938
6.563157631905026,-1.488988282424974
8.436711532702896,-1.833747791616269
6.913876187384918,-1.5254067752448783
8.402029857201617,-1.8368434468232948
9.034074454616206,-2.105251347409127
4.123996825978553,-1.3039045346993776
7.026519796632874,-1.684044161709285
8.22991589479013,-2.0052423039359337
8.821467158971828,-1.9351902231038325
5.0996779722639705,-1.606495222435731
8.397194375976344,-2.1140754090773957
7.25429712228137,-1.6156981258867915
6.497932928925532,-1.8914780132468463
7.145856936784119,-1.7771678662358097
8.349782731376855,-1.9050514278367314
4.835050117308371,-1.305744695820991
6.02496430479739,-1.751403349994813
4.315236210395969,-1.4286796539110602
6.313415002233453,-1.6731501560141346
8.988680267608364,-1.997060405299462
5.226426464417413,-1.363666247786177
8.141211658636577,-1.880369097996268
7.190956593133472,-1.6417173513251582
6.114213313811692,-1.537732889987954
7.898085069620143,-2.1434994383538966
9.325136307182136,-2.2698341880740034
7.491564849725562,-1.8716066219302023
7.205302864927772,-1.6420275710280048
7.4142767897018285,-1.6031180580540003
5.873129149007565,-1.4315503024066658
8.501730897891454,-1.9376300979002565
8.185454450694131,-1.9686508057220546
7.3026854824930565,-1.8966534685549246
8.372883716348397,-1.7958134378244905
5.720136642000759,-1.5286687127935223
9.0109824933200109,-2.041205181358439
7.385541374807094,-1.9242365540395463
8.925081203750734,-2.1344029928800365
5.342838565127874,-1.6336532982711296
9.341040781031825,-2.2226666182929025
6.732669001898491,-1.5511983390209807
8.83639704216875,-2.1329818705118084
7.224005470804684,-1.70680714370046
4.0828001347317,-1.4338956269612988
9.571309563677609,-2.10704518910173
7.49562063127947,-1.8824568942576554
7.262933580644125,-1.6279422055956287
8.63456809477636,-1.8636274322914597
7.365939085274218,-1.8636987076412395
6.0064629606827715,-1.6022012637844816
5.792085636749074,-1.5244150615643755
9.926342440153377,-2.0738880664695283
5.92339132275534,-1.6857419370050886
5.771045884757274,-1.5300103391234816
9.867495954922124,-2.524322109401053
5.56217335916167,-1.5018649549473488
8.752694997563822,-2.018265333975033
8.160700919541132,-2.1676518392089266
10.87291370080847,-2.389511799713669
6.11538877193449,-1.5944458260072132
7.7515642976643395,-2.0090508040729715
6.993731389395501,-1.6748618810289384
6.751955294834615,-1.849313374906305
6.854857187293812,-1.6860905215391744
7.937142743411283,-1.8989763525291516
7.172062134781448,-1.9873005768959973
6.4658359195903365,-1.6551015142000354
5.452621386990887,-1.4189633551259535
5.304283122031823,-1.5307580011426702
6.540875736943034,-1.729138925332264
6.571198693581366,-1.5981469658171015
8.55637656645217,-1.951883600716683
7.990770383189238,-1.898745375463226
7.502049438324052,-1.7137150658586806
7.910028042699805,-1.6858185445813056
5.719148523253324,-1.701119626875972
6.452359026745847,-1.8311719804182327
7.073294154214444,-1.7602873539618753
7.515735399584726,-1.7810988925877733
6.943208483666087,-1.8270829087844036
8.41480273429048,-2.085314580931064
6.43180896499659,-1.3443833987457425
4.769590492750478,-1.2710457191290607
8.363913001096607,-1.9178053767194028
7.8498608966475345,-2.099727580211498
6.549336102470546,-1.817307089424924
7.037975522514719,-1.8221887368465524
7.674481840968092,-1.8940327446832308
8.865193561661558,-2.159289683327645
6.76625047332962,-1.8525427194909063
5.603448483972789,-1.3826826453366403
5.907302944573848,-1.5020834001122334
7.708190728713969,-2.0066516779779233
6.877077428361591,-1.7672352654419883
7.4392837506171485,-1.8438134988604764
8.318961890431666,-2.0930133849387693
6.385784936671468,-1.5752401662336772
7.393985987401602,-1.7407663789459684
5.607192945689474,-1.4508151650946055
7.949333114905449,-1.9668197127721396
6.198991033578192,-1.4020739990457987
9.467438923384927,-2.203660838040833
5.407182642522692,-1.5877865654678964
8.404805887906765,-2.0845996389049977
3.85701304339485,-1.422270211558429
7.8927710439967775,-1.793808115183283
5.093790285115724,-1.414277791863685
7.648126057919518,-1.7055191746349962
9.453068243474386,-1.9729578585554781
6.5961548766042695,-1.6111296101858101
9.28038442040788,-2.0784358651677257
10.03309897335925,-2.190591163880989
8.487790288854944,-2.061865481034977
8.755593744313146,-2.1892476862258565
7.258297821556474,-1.562346519609549
7.619592414824516,-1.5678362450730705
7.9135350167111556,-1.8465801670161486
7.642315607198233,-1.683329941053205
5.448288129652315,-1.3225911123233554
9.2659014953616,-2.2716694237376767
7.133817464162949,-1.6249496048521666
6.26810037321137,-1.6244624122850602
6.944852251615834,-1.7161038880783066
6.976655675333836,-1.6656290516388235
6.13796888857238,-1.6829012812198323
7.846672787947472,-1.8565111651835264
3.8230931159800856,-1.3206523155339756
6.929448529015821,-1.860519847706376
5.543004605099406,-1.4862544245718865
4.544585509859417,-1.1203084171980482
5.966461102147898,-1.4304287673755853
7.8780744899797135,-2.0037774773109476
6.7193043416816005,-1.5922013425697
6.61498676810555,-1.7001944754959735
8.340881299405694,-2.081547289878823
7.440523123033916,-1.7583121114542315
6.907500655180308,-1.514105141470919
4.045337092311093,-1.2479450781747032
6.225964616401396,-1.7047321324968356
7.834224981631523,-1.879347057012107
7.724970934427597,-2.1259435614567113
8.528640760421162,-2.049721713092539
4.880356103601583,-1.3492246126409984
6.927863114219944,-1.9248616273314896
6.397723194601154,-1.5430114949042997
8.526544393316021,-1.9760461541412822
7.137564502291262,-1.6245004082748185
8.042596039888526,-1.8818011055418604
6.649107091251316,-1.6681912573872306
7.50535285378473,-1.863420126973492
4.287594776802048,-1.0988556359947224
8.907372122170333,-2.1605516573276686
7.740723540301773,-1.9854426886865912
5.783937852364168,-1.606872582414689
6.385207125954755,-1.4239336456709728
7.049916371722929,-1.6797584923978133
6.55511621243631,-1.6840743519385
7.866470278302447,-1.6827980883880191
6.661874425076263,-1.6816238976313687
6.998709444564993,-1.8230641507204943
8.20367984692265,-1.9433856954560351
7.74218617715543,-1.9224604492734367
4.411235625253703,-1.2458038633205488
6.880386369855712,-1.6028754297020684
7.560127955962448,-1.765514115896897
7.638556878186261,-1.774740897525668
8.493871881687378,-2.1326885849424344
8.112773731033773,-2.003720138886586
7.482824286350134,-1.6030302781420505
7.4817427392531215,-1.4498275008785342
7.087779104445239,-1.8170910610988387
7.406411058049264,-1.7106994443032222
6.998788258978372,-1.705212823046329
6.887977833132475,-1.807281532197542
7.2188854470748955,-1.8968986255884352
7.221274602442133,-1.7069588191585974
9.926055215704364,-2.212487457280996
7.322820886555418,-1.7924050369312987
9.964754752852835,-2.422124700061097
6.94762197005224,-2.115755917851741
6.467170883822082,-1.870437503551926
7.32062773449149,-1.5921938349262141
6.1063095766952324,-1.5161291219139401
7.941010415275088,-1.8462355809888766
7.693105221344119,-1.964965848881448
6.81721082191865,-1.7657824310573076
5.922035145520356,-1.6410876679470767
8.54436811019856,-2.2263197389079394
6.756334166160026,-1.7708551575275315
7.5358420837318185,-1.8110809100713863
7.436564784605142,-1.9558007461292783
7.034543949579827,-1.89543387021867
8.245559280725207,-1.9063226529587098
4.73370334550884,-1.2888972665742575
6.950707138102779,-1.6709839302834066
7.929414554462729,-1.8504819808160702
4.495423533916585,-1.5716897903055458
7.9140206284989505,-2.068991348131617
8.579969142405798,-1.8418720866507363
7.67031290474798,-1.8048419479926372
7.156718524531279,-1.8312428023172436
8.517104326679384,-1.8852174163242832
6.789196508648674,-1.72204436979979
6.5433561882126785,-1.5958939835229167
7.023200199566912,-1.719693725931926
5.990149111451835,-1.5227142852062392
5.487512363697818,-1.4324017601641794
7.613677079190111,-1.909613603990206
5.010769437615353,-1.3356312224479043
8.317041189876662,-1.9102007254501405
7.5224430667656,-1.9201976216407466
8.564141097783464,-2.0762806403345104
7.104044168191115,-1.7477233964065122
7.149735599805878,-2.081584587027628
6.567778330461914,-1.5576114192224757
10.213210765640133,-2.324592113709459
6.094295313837164,-1.7205077879114665
5.463158722999239,-1.5884442783772461
6.393345646579095,-1.7398613966764243
7.848463075648079,-1.9147038846283753
7.186377054662688,-1.7875757036929616
6.539703451362727,-1.6392141559372864
6.684539166909979,-1.9511981715144566
10.058568377461073,-2.2877109165629768
6.961158996613084,-1.7859879590295338
6.105047500906378,-1.800894123346185
6.035403432075869,-1.6895645816321079
7.7398925187867125,-1.7956289282041593
6.877794859792636,-1.7193606148730045
6.886845180770259,-1.7789358023807684
7.932266945179643,-1.8992119909995915
7.27364883456533,-1.9025591361094307
5.422289285279365,-1.3734600346784822
4.077555286365627,-1.2168216108621739
7.648689159411081,-2.0892769412631726
7.714832746664428,-1.934562099061214
6.449132444953317,-1.8033887197909093
4.509065017663996,-1.5124438181429793
7.581276856433476,-1.992164500021104
7.4200439815475265,-1.893428988784217
7.854652879653187,-2.0152881199611774
8.966011001319982,-2.1727738204278855
8.78663908644537,-2.1747150071096155
7.55303799193149,-1.8828594113898056
7.328934464860762,-1.755238623216023
4.980932487096999,-1.7159567443715282
6.796986423513372,-1.959197308066896
6.333430564820809,-1.6178881438840802
6.554213320730618,-1.6123402362952899
7.380079399375433,-1.8640146667980722
6.933041420516776,-1.5744193786220857
8.514553554642497,-2.207434347927687
7.778310343152967,-1.798971557731515
8.866690726370825,-1.9919018581567993
7.773138623812894,-1.9112229429219483
4.1141192425547075,-1.4715699313964252
6.964736593479983,-1.7708125245381638
6.879141738477643,-1.4147728703639855
10.986271006989977,-2.461151208346745
9.962966385407567,-2.2948279863613408
7.368417970129318,-1.6231452059856293
7.436916018170226,-1.876121823981459
8.028021076078009,-1.9139017698835898
6.053731280956605,-1.8030465812610297
6.827423144893088,-1.8134695053310874
10.027941619713166,-2.445042659289905
8.353809269613155,-1.942858415133842
8.113144045615028,-1.9776611634691041
6.39050810872891,-1.5755442751657964
7.600219874211849,-1.8573517295850752
6.949298622075429,-1.7021683184940726
9.01449898158787,-2.3605361414172146
6.1321289354218065,-1.4608102093142266
8.300539899489193,-2.0489848753187614
6.453385034196672,-1.606618739003267
9.314792152226843,-2.2683042116106247
7.682540863536864,-1.870006824718764
6.154251077893245,-1.756506632582325
5.469255067302813,-1.639729996326643
4.963625039137955,-1.3932984454189596
8.716875548115796,-2.104109414732097
7.325452994180103,-1.8016786181237516
5.064575435618605,-1.4376324237621034
7.929124034003733,-1.8625672302643874
7.358981654702684,-1.9113497877727936
8.618902751530435,-1.8365799107065819
7.25925432428423,-1.617802066107801
