thickness,normalized_slopes_low,normalized_slopes_high,median_slopes
52.00000000000015,1.8320995491285305e-70,5.761328719794459e-69,9.918419494773121e-70
56.276694649426005,2.190168088290018e-70,6.066190974201531e-69,1.1359288009608204e-69
60.90512232047616,2.430337780639923e-70,7.089285393417456e-69,1.3046714175355332e-69
65.91421098875774,2.9803529026276485e-70,7.823691886573081e-69,1.5295361713138747e-69
71.33526778600361,3.372369089330034e-70,9.186392708707497e-69,1.7515380791388937e-69
77.20217467169137,3.9372875821899445e-70,1.0367145694561503e-68,1.9940959978180536e-69
83.55160019750888,4.7740489296457054e-70,1.1696640508613372e-68,2.3518676160086807e-69
90.42322868819545,5.362118142529112e-70,1.3598326922196731e-68,2.7092652576614544e-69
97.86000827116983,6.391816375665028e-70,1.4920004030026697e-68,3.0760659793361794e-69
105.90841930513298,7.489957958748735e-70,1.6574835620963738e-68,3.5900439540241646e-69
114.61876488535373,8.584670442005675e-70,1.89121372782653e-68,4.112162887142297e-69
124.04548524129714,1.0088114719053815e-69,2.2701662392070856e-68,4.731266449446585e-69
134.247497991622,1.1796026803014888e-69,2.593891219979951e-68,5.5081411953634e-69
145.28856638315395,1.3982422800338482e-69,2.8977880604741536e-68,6.38029082955621e-69
157.2376978153399,1.573319953738683e-69,3.357878088406089e-68,7.285829684553337e-69
170.16957514101287,1.7854860965843498e-69,3.91307968857375e-68,8.292842922850216e-69
184.16502343910216,2.1585564127003379e-69,4.3477889426790245e-68,9.632385738869132e-69
199.31151517666967,2.491328515804317e-69,5.010792838143943e-68,1.1142639046855438e-68
215.7037169175377,2.923706717315942e-69,5.801791769791586e-68,1.2984588494310777e-68
233.44408099450897,3.365874068867294e-69,6.803061274013757e-68,1.486802821526407e-68
252.64348584315292,3.9845117760244734e-69,7.804005995252778e-68,1.7043037510454665e-68
273.42192899926573,4.442019281192627e-69,8.687463597397462e-68,1.9555898253932958e-68
295.90927709132364,5.155118314589047e-69,9.916085277695431e-68,2.2524834703731037e-68
320.24607751539946,5.963473456205948e-69,1.1139876083419687e-67,2.6387239962021543e-68
346.58443686559,7.165084803851066e-69,1.3713730826624308e-67,3.0480202126915855e-68
375.0889716101584,8.076011027434912e-69,1.494208163257003e-67,3.5275000990591057e-68
405.93783695523587,9.342286547400901e-69,1.750139357540626e-67,4.014132144832617e-68
439.3238403265045,1.0451872679325222e-68,2.0070384851746684e-67,4.617081914298704e-68
475.45564642823206,1.211685264180209e-68,2.2443063300563564e-67,5.3035102595159956e-68
514.5590814112941,1.4343341756852444e-68,2.773897137207033e-67,6.148414522527792e-68
556.8785443013936,1.5840997854396632e-68,3.1388776887709255e-67,7.152937277209995e-68
602.6785345089734,1.860360252007734e-68,3.57762299042532e-67,8.157216263066989e-68
652.2453049677948,2.1346200948842132e-68,4.18737183347251e-67,9.306356699307131e-68
705.8886512345116,2.43616092847614e-68,4.813033312678503e-67,1.0858768047660114e-67
763.9438477311479,2.8027878532210063e-68,5.7046100402426014e-67,1.2451575056468856e-67
826.773743232187,3.214235700556986e-68,6.403326566114932e-67,1.4421360609877078e-67
894.7710286930985,3.629909156610355e-68,7.559984975725737e-67,1.6664522512382802e-67
968.3606915945036,4.259940433529158e-68,8.714454174592343e-67,1.8885220787304753e-67
1048.002672141755,4.787969121972803e-68,1.0067047679359553e-66,2.2348317684543755e-67
1134.1947379212404,5.612254903245649e-68,1.1847234544575735e-66,2.5401745221227628e-67
1227.4755949803834,6.211467210559833e-68,1.3636682620509578e-66,2.9504770300350583e-67
1328.4282547756422,6.918580579958704e-68,1.6408960989718093e-66,3.417322406702831e-67
1437.6836780322935,8.236092862225968e-68,1.864569317314511e-66,3.852817260295342e-67
1555.9247182901477,9.207082069650366e-68,2.142672975443472e-66,4.519174539795161e-67
1683.8903897828761,1.0594492611253514e-67,2.594209860373378e-66,5.263706508660314e-67
1822.3804863252622,1.2058174464915841e-67,2.9676949039835266e-66,6.088379948410774e-67
1972.2605800769231,1.3309455010744951e-67,3.46038324603506e-66,6.846975239517273e-67
2134.467431424801,1.5764103288742054e-67,4.050780892418969e-66,8.039151004852251e-67
2310.014843796884,1.7178875495419148e-67,4.825541038954155e-66,9.210529757163743e-67
2499.999999999995,2.0737648671072745e-67,5.376335125891818e-66,1.0580017127229114e-66
